Player,Team,Position,Experience,Salary
Jake Fox,Baltimore Orioles,First Baseman,11,424000
Jake McGee,Tampa Bay Rays,Pitcher,12,415200
Jake Peavy,Chicago White Sox,Pitcher,10,16000000
Jake Westbrook,St. Louis Cardinals,Pitcher,32,8000000
James Loney,Los Angeles Dodgers,First Baseman,10,4875000
James McDonald,Pittsburgh Pirates,Pitcher,15,443000
James Russell,Chicago Cubs,Pitcher,12,427500
James Shields,Tampa Bay Rays,Pitcher,10,4250000
Jamey Carroll,Los Angeles Dodgers,Infielder,6,2285677
Jamey Wright,Seattle Mariners,Pitcher,8,900000
Jared (Levi) Burton,Cincinnati Reds,Pitcher,8,750000
Jared Goedert,Cleveland Indians,Infielder,3,414000
Jarrett Hoffpauir,San Diego Padres,Second Baseman,10,414800
Jarrod Dyson,Kansas City Royals,Outfielder,5,414000
Jarrod Saltalamacchia,Boston Red Sox,Catcher,14,750000
Jason Bartlett,San Diego Padres,Shortstop,15,4000000
Jason Bay,New York Mets,Outfielder,17,18125000
Jason Berken,Baltimore Orioles,Pitcher,15,426500
Jason Bourgeois,Houston Astros,Outfielder,15,423000
Jason Bulger,Los Angeles Angels,Pitcher,15,423000
Jason Castro,Houston Astros,Catcher,13,421500
Jason Donald,Cleveland Indians,Shortstop,5,423200
Jason Frasor,Toronto Blue Jays,Pitcher,9,3500000
Jason Giambi,Colorado Rockies,First Baseman,5,1000000
Jason Hammel,Colorado Rockies,Pitcher,9,3000000
Jason Heyward,Atlanta Braves,Outfielder,11,496500
Jason Jaramillo,Pittsburgh Pirates,Catcher,11,422500
Jason Kendall,Kansas City Royals,Catcher,10,3750000
Jason Kubel,Minnesota Twins,Pitcher,11,5250000
Jason Marquis,Washington Nationals,Pitcher,5,7500000
Jason Michaels,Houston Astros,Outfielder,11,900000
Jason Motte,St. Louis Cardinals,Pitcher,6,435000
Jason Repko,Minnesota Twins,Outfielder,5,600000
Jason Vargas,Seattle Mariners,Pitcher,5,2450000
Jason Varitek,Boston Red Sox,Catcher,4,2000000
Javier Lopez,San Francisco Giants,Pitcher,16,2375000
Javier Vazquez,Miami Marlins,Pitcher,15,7000000
Jay Bruce,Cincinnati Reds,Outfielder,19,2791666
Jay Gibbons,Los Angeles Dodgers,Outfielder,6,650000
Jayson Nix,Toronto Blue Jays,Second Baseman,16,438100
Jayson Werth,Washington Nationals,Outfielder,14,10571428
Jed Lowrie,Boston Red Sox,Second Baseman,11,450000
Jeff Baker,Chicago Cubs,Second Baseman,8,1175000
Jeff Francis,Kansas City Royals,Pitcher,11,2000000
Jeff Francoeur,Kansas City Royals,Outfielder,3,2500000
Jeff Fulchino,Houston Astros,Pitcher,5,467000
Jeff Keppinger,Houston Astros,Second Baseman,7,2300000
Jeff Manship,Minnesota Twins,Pitcher,15,419000
Jeff Mathis,Los Angeles Angels,Catcher,13,1700000
Jeff Niemann,Tampa Bay Rays,Pitcher,8,903000
Jeff Samardzija,Chicago Cubs,Pitcher,12,3300000
Jeffrey Karstens,Pittsburgh Pirates,Pitcher,9,1100000
Jered Weaver,Los Angeles Angels,Pitcher,27,7365000
Jeremy Accardo,Baltimore Orioles,Pitcher,19,1080000
Jeremy Affeldt,San Francisco Giants,Pitcher,17,4500000
Jeremy Guthrie,Baltimore Orioles,Pitcher,24,5750000
Jeremy Hellickson,Tampa Bay Rays,Pitcher,6,418400
Jeremy Jeffress,Kansas City Royals,Pitcher,16,414500
Jeremy Reed,Milwaukee Brewers,Outfielder,14,550000
Jerry Blevins,Oakland Athletics,Pitcher,16,420000
Jerry Hairston Jr.,Washington Nationals,Infielder,22,2000000
Jesse Carlson,Toronto Blue Jays,Pitcher,13,450000
Jesse Crain,Chicago White Sox,Pitcher,5,4000000
Jesse Litsch,Toronto Blue Jays,Pitcher,2,830000
Jhonny Peralta,Detroit Tigers,Shortstop,4,5250000
Jhoulys Chacin,Colorado Rockies,Pitcher,10,419000
Jim Johnson,Baltimore Orioles,Pitcher,13,975000
Jim Thome,Minnesota Twins,Designated Hitter,13,3000000
Jimmy Rollins,Philadelphia Phillies,Shortstop,3,8500000
Joakim Soria,Kansas City Royals,Pitcher,11,4000000
Joaquin Benoit,Detroit Tigers,Pitcher,31,5500000
Joba Chamberlain,New York Yankees,Pitcher,29,1400000
Joe Blanton,Philadelphia Phillies,Pitcher,3,10500000
Joe Mauer,Minnesota Twins,Catcher,10,23000000
Joe Nathan,Minnesota Twins,Pitcher,4,11250000
Joe Paterson,Arizona Diamondbacks,Pitcher,5,414000
Joe Saunders,Arizona Diamondbacks,Pitcher,13,5500000
Joe Smith,Cleveland Indians,Pitcher,4,870000
Joe Thatcher,San Diego Padres,Pitcher,13,433900
Joel Hanrahan,Pittsburgh Pirates,Pitcher,14,1400000
Joel Peralta,Tampa Bay Rays,Pitcher,8,925000
Joel Pineiro,Los Angeles Angels,Pitcher,9,8000000
Joel Zumaya,Detroit Tigers,Pitcher,11,1400000
Joey Votto,Cincinnati Reds,First Baseman,7,7410655
Johan Santana,New York Mets,Pitcher,22,21644707
John Axford,Milwaukee Brewers,Pitcher,12,442500
John Baker,Miami Marlins,Catcher,6,417000
John Bowker,Pittsburgh Pirates,Outfielder,9,441500
John Buck,Miami Marlins,Catcher,7,5000000
John Danks,Chicago White Sox,Pitcher,2,6000000
John Grabow,Chicago Cubs,Pitcher,4,4800000
John Jaso,Tampa Bay Rays,Catcher,11,427200
John Lackey,Boston Red Sox,Pitcher,19,15950000
John Lannan,Washington Nationals,Pitcher,11,2750000
John Mayberry,Philadelphia Phillies,Outfielder,13,414000
John McDonald,Toronto Blue Jays,Shortstop,7,1500000
Johnny Cueto,Cincinnati Reds,Pitcher,49,3400000
Johnny Damon,Tampa Bay Rays,Outfielder,5,5250000
Jo-Jo Reyes,Toronto Blue Jays,Pitcher,3,439100
Jon Garland,Los Angeles Dodgers,Pitcher,7,4442023
Jon Jay,St. Louis Cardinals,Outfielder,23,416000
Jon Niese,New York Mets,Pitcher,4,452000
Jon Rauch,Toronto Blue Jays,Pitcher,3,3500000
Jonathan Broxton,Los Angeles Dodgers,Pitcher,19,7000000
Jonathan Herrera,Colorado Rockies,Second Baseman,7,419000
Jonathan Lester,Boston Red Sox,Pitcher,4,5750000
